Timestamp,Tell us about your experience working with us [TSG makes a positive contribution to my work],Tell us about your experience working with us [TSG responds to my requests in a timely manner],Tell us about your experience working with us [TSG takes accountability for my requests],Tell us about your experience working with us [TSG staff are knowledgable ],Please rate your satisfaction with our services: [Account manager support],Please rate your satisfaction with our services: [Audio and Video Production Services],"Please rate your satisfaction with our services: [Business applications support (M-files, Salesforce, Enterprise, etc.)]",Please rate your satisfaction with our services: [Event services],Please rate your satisfaction with our services: [Project support],Please rate your satisfaction with our services: [Service Desk],Please rate your satisfaction with our services: [Studio services],Please rate your satisfaction with our services: [Vendor management services],Is there anything else you would like to share?
4/9/2019 17:30,Always,Always,Always,Always,N/A do not use,Very Satisfied,N/A do not use,Very Satisfied,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,neutral answers are because I do not receive these services in my position (changed to NA do not use in order to clean up data - MAL)
4/10/2019 8:49,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,,,"Everyone I've worked with is friendly and prompt. Recently I've worked with Sean Austin and he's been great, very patient and solution-oriented. The problem is always resolved."
4/10/2019 16:28,Always,Mostly,Always,Sometimes,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Satisfied,N/A do not use,Satisfied,
4/11/2019 11:52,Mostly,Mostly,Mostly,Always,N/A do not use,Very Satisfied,N/A do not use,Very Satisfied,N/A do not use,Satisfied,N/A do not use,N/A do not use,
4/15/2019 10:33,Never,Sometimes,Mostly,Rarely,Dissatisfied,Neutral,Neutral,Neutral,Neutral,Very Dissatisfied,Neutral,Neutral,Better service desk help needed for remote employees. 
4/16/2019 13:59,Always,Always,Always,Mostly,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,
4/17/2019 15:32,Always,Always,Always,Always,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,Very Satisfied,Very Satisfied,N/A do not use,N/A do not use,"Whomever it was who helped me back in February (Sean?) when I was away from my office and needed tech support to retrieve an important e-mail, was outstanding in the level of service he gave me.  He was not only skilled and efficient, but so warm and friendly--important qualities when someone is in a stressful situation that tech problems seem to create.  Thank you, TSG!"
4/22/2019 15:43,Mostly,Sometimes,Always,Sometimes,N/A do not use,N/A do not use,Neutral,N/A do not use,Dissatisfied,Dissatisfied,Very Satisfied,Satisfied,"While I appreciate the good intentions/attitude of members of the Service Desk, they're inexperience often means that resolutions to tickets take too long and often create excessive work-stoppage, which has a big impact on our department. I would like to note that I greatly appreciate Sean Austin's excellent attitude and follow-through.  

Regarding Project support, the main individual I've worked with is Joey Jiang. She seems well-intentioned and friendly, however, she's often difficult to understand, occasionally may give the impression that she understands details when it doesn't seem that she does, frequently schedules unnecessary meetings, and, similarly, doesn't make the best use of meeting participants' time. The aforementioned observations sometimes cause a project due date to be delayed and/or the quality of the deliverable to be negatively impacted."
4/29/2019 11:20,Mostly,Mostly,Mostly,Mostly,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,
4/29/2019 11:27,Always,Always,Always,Always,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,Satisfied,
4/29/2019 11:29,Always,Always,Always,Always,N/A do not use,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,N/A do not use,"Prompt responses, wonderfully skilled, generous and thorough in answering questions, always provides a resolution.  Thank you!"
4/29/2019 11:33,Always,Always,Always,Always,Very Satisfied,N/A do not use,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,N/A do not use,
4/29/2019 11:44,Mostly,Mostly,Mostly,Mostly,Satisfied,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,
4/29/2019 11:58,Always,Always,Always,Always,N/A do not use,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,N/A do not use,"Thanks for being such a great team, willing to help in any way you can, and when we've changed our thought as to what we wanted to do, you all just graciously changed right with us.  Thank you.  Thank you.  There is no column for outstanding, or I would have marked it.  Lois Herr"
4/29/2019 14:00,Mostly,Mostly,Mostly,Mostly,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,N/A do not use,Satisfied,Very Satisfied,N/A do not use,
4/29/2019 16:07,Always,Always,Always,Always,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,
4/29/2019 20:30,Always,Always,Always,Always,Very Satisfied,Very Satisfied,N/A do not use,Very Satisfied,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,
4/30/2019 8:44,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,TSG is always helpful and efficient
4/30/2019 9:39,Sometimes,Sometimes,Sometimes,Sometimes,Neutral,N/A do not use,Very Dissatisfied,N/A do not use,Dissatisfied,Neutral,N/A do not use,Dissatisfied,
4/30/2019 16:33,Always,Mostly,Always,Always,Very Satisfied,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,Neutral,"We need scheduling software and we need it adapted to our needs.  I know that can be problematic with possible upgrades, but this is definitely an area we should put manpower into or even money on!"
5/1/2019 9:13,Always,Always,Always,Mostly,Very Satisfied,Very Satisfied,Very Satisfied,N/A do not use,Very Satisfied,Very Satisfied,N/A do not use,N/A do not use,
5/1/2019 15:36,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,Very Satisfied,Very Satisfied,Satisfied,The Service Desk is always so helpful! 
5/3/2019 13:01,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,
5/7/2019 15:33,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,,N/A do not use,N/A do not use,N/A do not use,
5/9/2019 13:24,Always,Mostly,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,
5/13/2019 10:52,Always,Always,Always,Always,N/A do not use,Very Satisfied,Satisfied,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,
7/31/2019 14:30,Mostly,Mostly,Mostly,Mostly,N/A do not use,Very Satisfied,N/A do not use,Satisfied,Very Satisfied,Neutral,Very Satisfied,Neutral,
7/31/2019 14:31,Always,Always,Always,Always,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,
7/31/2019 14:37,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,Very Satisfied,Thanks for your service.
7/31/2019 14:37,Sometimes,Mostly,Mostly,Mostly,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,
7/31/2019 14:37,Mostly,Mostly,Always,Always,Satisfied,Very Satisfied,Very Satisfied,N/A do not use,Satisfied,Satisfied,N/A do not use,N/A do not use,You all do a really great job! Thanks for your hard work! 
7/31/2019 14:40,Mostly,Always,Always,Mostly,Satisfied,N/A do not use,N/A do not use,Satisfied,Satisfied,Very Satisfied,N/A do not use,N/A do not use,"Everyone in TSG is a joy to work with. I don't have any need for BMPS services, but they support events, and offer project support and I appreciate their input. The rest of the TSG team is professional and fun to work with. When I have a question they don't know the answer to, they find out, and get back to me with a fix in a timely manner. I appreciate the TSG team!"
7/31/2019 14:53,Mostly,Sometimes,Mostly,Mostly,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,
7/31/2019 15:01,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,
7/31/2019 15:16,Mostly,Mostly,Mostly,Mostly,N/A do not use,Very Satisfied,Satisfied,N/A do not use,Satisfied,Satisfied,N/A do not use,Satisfied,
7/31/2019 15:17,Mostly,Mostly,Mostly,Mostly,N/A do not use,Satisfied,N/A do not use,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,
7/31/2019 15:24,Always,Always,Always,Always,Very Satisfied,N/A do not use,Very Satisfied,N/A do not use,Very Satisfied,Very Satisfied,N/A do not use,N/A do not use,"I definitely couldn't do my job without TSG! Many thanks for your timely, professional, and patient help."
7/31/2019 15:42,Always,Always,Always,Always,N/A do not use,N/A do not use,Very Satisfied,Very Satisfied,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,Great team! And it just seems to be getting bigger and quicker on responses.
7/31/2019 15:42,Mostly,Always,Always,Always,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,Very Satisfied,Very Satisfied,N/A do not use,
7/31/2019 15:48,,Always,Always,Always,Very Satisfied,Very Satisfied,Neutral,Neutral,Neutral,Very Satisfied,Very Satisfied,Neutral,
7/31/2019 15:56,Always,Always,Always,Always,Very Satisfied,Very Satisfied,Neutral,Neutral,Neutral,Very Satisfied,N/A do not use,Neutral,
7/31/2019 17:08,Always,Always,Always,Always,Neutral,Very Satisfied,Satisfied,Neutral,Neutral,Very Satisfied,Very Satisfied,Neutral,
7/31/2019 17:28,Always,Mostly,Always,Mostly,N/A do not use,Very Satisfied,Very Satisfied,N/A do not use,N/A do not use,Satisfied,Very Satisfied,N/A do not use,
7/31/2019 17:58,Always,Mostly,Always,Always,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,The support you all give is very appreciated. 
8/1/2019 6:32,Always,Always,Always,Always,N/A do not use,N/A do not use,Very Satisfied,Very Satisfied,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,
8/1/2019 8:54,Always,Mostly,Always,Always,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,N/A do not use,,Very Satisfied,N/A do not use,
8/1/2019 11:29,Mostly,Mostly,Mostly,Mostly,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,Neutral,
8/1/2019 11:56,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,Very Satisfied,Very Satisfied,N/A do not use,
8/1/2019 16:57,Always,Always,Always,Always,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,
8/2/2019 8:23,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,The TSG computer/email  security training modules are very helpful.
8/2/2019 9:05,Always,Always,Always,Always,N/A do not use,Very Satisfied,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,Everyone is super competent and responsive. Some of my favorite people at TMC!!!!!
8/2/2019 13:37,Mostly,Always,Always,Always,N/A do not use,Very Satisfied,N/A do not use,Very Satisfied,N/A do not use,Very Satisfied,Very Satisfied,N/A do not use,
8/2/2019 13:43,Sometimes,Mostly,Rarely,Sometimes,Dissatisfied,Very Satisfied,N/A do not use,N/A do not use,Neutral,Satisfied,Very Satisfied,Neutral,
8/2/2019 14:09,Mostly,Always,Always,Mostly,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,
8/4/2019 16:51,Always,Always,Always,Mostly,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,,Very Satisfied,N/A do not use,"Please collect the ""best practices"" and new software ideas from all employees and share them with others to improve everyone's productivity."
8/5/2019 10:13,Sometimes,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Satisfied,Very Satisfied,N/A do not use,N/A do not use,
8/8/2019 15:43,Always,Always,Always,Always,Very Satisfied,N/A do not use,Very Satisfied,N/A do not use,Very Satisfied,Very Satisfied,N/A do not use,Very Satisfied,
8/14/2019 11:27,Always,Always,Always,Always,Very Satisfied,N/A do not use,Satisfied,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,
8/19/2019 14:28,Mostly,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,
8/19/2019 14:30,Always,Always,Always,Always,Very Satisfied,Very Satisfied,Neutral,Neutral,Neutral,Very Satisfied,Very Satisfied,Neutral,No
8/19/2019 14:43,Always,Always,Always,Mostly,Satisfied,N/A do not use,Satisfied,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,
8/19/2019 14:43,Mostly,Mostly,Mostly,Always,Satisfied,Satisfied,Satisfied,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,
8/19/2019 14:43,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,
8/19/2019 14:49,Always,Always,Always,Always,Very Satisfied,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,"TSG is wonderful -- always ready to answer questions and meet needs, and always patient in working with us. Thank you!
"
8/19/2019 14:52,Always,Always,Always,Mostly,Satisfied,Satisfied,Satisfied,N/A do not use,N/A do not use,Very Satisfied,Very Satisfied,N/A do not use,none
8/19/2019 14:54,Always,Always,Always,Always,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,N/A do not use,N/A do not use,
8/19/2019 15:07,Always,Always,Always,Always,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,A wonderful staff to work with in all ways. 
8/19/2019 15:54,Always,Mostly,Mostly,Mostly,Neutral,Satisfied,Neutral,Neutral,Neutral,Satisfied,Neutral,Neutral,
8/19/2019 15:59,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,
8/19/2019 17:15,Mostly,Always,Mostly,Mostly,N/A do not use,N/A do not use,Neutral,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,"I have mostly worked with Sean Austin, and he is wonderful. He's readily available, easy to follow, and always upbeat. I've heard many praise his good work!

For an existing employee who is transitioning to a new role... Before you require them to get a new email account (as I was required to do), you should explain to them why it is necessary. It is a big upheaval to endure right at the time when you're learning a new job. Understanding that it truly is necessary could help make it more palatable. TSG should think through all the implications of the employee having to get a new account before you start the process, and you should offer to walk the employee through each piece. For example, ""May I help you set up the new account on your smart phone so you don't miss emails from your new boss?"" or ""Do you have any calendar appointments you'd like to keep that I can help you move over to your new account?"" etc etc"
8/19/2019 20:51,Always,Always,Always,Mostly,Very Satisfied,Satisfied,Neutral,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,
8/19/2019 21:35,Mostly,,,,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,"Other than taking required TSG training modules, I have not had any contact with the group."
8/20/2019 8:03,Mostly,Always,Mostly,Mostly,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,Very Satisfied,Satisfied,Very Satisfied,N/A do not use,Would like to understand the breakdown of responsibilities within TSG
8/20/2019 9:06,Always,Always,Always,Always,Very Satisfied,N/A do not use,Satisfied,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,
8/20/2019 9:46,Always,Always,Always,Always,Very Satisfied,Very Satisfied,Very Satisfied,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,"I am very grateful for the prompt, cheerful, helpful support of TSG. Thank you!"
8/20/2019 14:22,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Satisfied,N/A do not use,Satisfied,
8/20/2019 16:58,Always,Always,Always,Always,N/A do not use,Very Satisfied,N/A do not use,Very Satisfied,Very Satisfied,Very Satisfied,N/A do not use,N/A do not use,Thanks for supporting the Cause in the ultra professional way you do!
